Country,REF_AREA,Indicator,Time period, Child Mortality Rate,UNIT_MEASURE:Unit of measure
Armenia,ARM, Child mortality rate (aged 1-4 years),2017,1.41646846,D_PER_1000_1: Deaths per 1000 children aged 1
Armenia,ARM, Child mortality rate (aged 1-4 years),2019,1.29733722,D_PER_1000_1: Deaths per 1000 children aged 1
Antigua and Barbuda,ATG, Child mortality rate (aged 1-4 years),2000,2.97153568,D_PER_1000_1: Deaths per 1000 children aged 1
Antigua and Barbuda,ATG, Child mortality rate (aged 1-4 years),2005,2.357280884,D_PER_1000_1: Deaths per 1000 children aged 1
Antigua and Barbuda,ATG, Child mortality rate (aged 1-4 years),2010,1.743601576,D_PER_1000_1: Deaths per 1000 children aged 1
Antigua and Barbuda,ATG, Child mortality rate (aged 1-4 years),2015,1.277195244,D_PER_1000_1: Deaths per 1000 children aged 1
Antigua and Barbuda,ATG, Child mortality rate (aged 1-4 years),2017,1.161059843,D_PER_1000_1: Deaths per 1000 children aged 1
Antigua and Barbuda,ATG, Child mortality rate (aged 1-4 years),2019,1.065324723,D_PER_1000_1: Deaths per 1000 children aged 1
Australia,AUS, Child mortality rate (aged 1-4 years),2000,1.077048622,D_PER_1000_1: Deaths per 1000 children aged 1
Australia,AUS, Child mortality rate (aged 1-4 years),2005,0.9631984,D_PER_1000_1: Deaths per 1000 children aged 1
Australia,AUS, Child mortality rate (aged 1-4 years),2010,0.77492149,D_PER_1000_1: Deaths per 1000 children aged 1
Australia,AUS, Child mortality rate (aged 1-4 years),2015,0.606848034,D_PER_1000_1: Deaths per 1000 children aged 1
Australia,AUS, Child mortality rate (aged 1-4 years),2017,0.582812546,D_PER_1000_1: Deaths per 1000 children aged 1
Australia,AUS, Child mortality rate (aged 1-4 years),2019,0.569963932,D_PER_1000_1: Deaths per 1000 children aged 1
Austria,AUT, Child mortality rate (aged 1-4 years),2000,0.916172558,D_PER_1000_1: Deaths per 1000 children aged 1
Austria,AUT, Child mortality rate (aged 1-4 years),2005,0.834354771,D_PER_1000_1: Deaths per 1000 children aged 1
Austria,AUT, Child mortality rate (aged 1-4 years),2010,0.754880712,D_PER_1000_1: Deaths per 1000 children aged 1
Austria,AUT, Child mortality rate (aged 1-4 years),2015,0.653051417,D_PER_1000_1: Deaths per 1000 children aged 1
Austria,AUT, Child mortality rate (aged 1-4 years),2017,0.641130766,D_PER_1000_1: Deaths per 1000 children aged 1
Austria,AUT, Child mortality rate (aged 1-4 years),2019,0.649403946,D_PER_1000_1: Deaths per 1000 children aged 1
Azerbaijan,AZE, Child mortality rate (aged 1-4 years),2000,14.41909001,D_PER_1000_1: Deaths per 1000 children aged 1
Azerbaijan,AZE, Child mortality rate (aged 1-4 years),2005,8.153415408,D_PER_1000_1: Deaths per 1000 children aged 1
Azerbaijan,AZE, Child mortality rate (aged 1-4 years),2010,4.972649237,D_PER_1000_1: Deaths per 1000 children aged 1
Azerbaijan,AZE, Child mortality rate (aged 1-4 years),2015,3.035951483,D_PER_1000_1: Deaths per 1000 children aged 1
Azerbaijan,AZE, Child mortality rate (aged 1-4 years),2017,2.562191766,D_PER_1000_1: Deaths per 1000 children aged 1
Azerbaijan,AZE, Child mortality rate (aged 1-4 years),2019,2.235977852,D_PER_1000_1: Deaths per 1000 children aged 1
Burundi,BDI, Child mortality rate (aged 1-4 years),2000,66.13882687,D_PER_1000_1: Deaths per 1000 children aged 1
Burundi,BDI, Child mortality rate (aged 1-4 years),2005,50.30664362,D_PER_1000_1: Deaths per 1000 children aged 1
Burundi,BDI, Child mortality rate (aged 1-4 years),2010,33.6009456,D_PER_1000_1: Deaths per 1000 children aged 1
Burundi,BDI, Child mortality rate (aged 1-4 years),2015,22.61536864,D_PER_1000_1: Deaths per 1000 children aged 1
Burundi,BDI, Child mortality rate (aged 1-4 years),2017,19.72227335,D_PER_1000_1: Deaths per 1000 children aged 1
Burundi,BDI, Child mortality rate (aged 1-4 years),2019,17.42566502,D_PER_1000_1: Deaths per 1000 children aged 1
Belgium,BEL, Child mortality rate (aged 1-4 years),2000,1.018925863,D_PER_1000_1: Deaths per 1000 children aged 1
Belgium,BEL, Child mortality rate (aged 1-4 years),2005,0.889650742,D_PER_1000_1: Deaths per 1000 children aged 1
Belgium,BEL, Child mortality rate (aged 1-4 years),2010,0.792229254,D_PER_1000_1: Deaths per 1000 children aged 1
Belgium,BEL, Child mortality rate (aged 1-4 years),2015,0.721986074,D_PER_1000_1: Deaths per 1000 children aged 1
Belgium,BEL, Child mortality rate (aged 1-4 years),2017,0.718609058,D_PER_1000_1: Deaths per 1000 children aged 1
Belgium,BEL, Child mortality rate (aged 1-4 years),2019,0.724928179,D_PER_1000_1: Deaths per 1000 children aged 1
Benin,BEN, Child mortality rate (aged 1-4 years),2000,56.59261373,D_PER_1000_1: Deaths per 1000 children aged 1
Benin,BEN, Child mortality rate (aged 1-4 years),2005,48.71999703,D_PER_1000_1: Deaths per 1000 children aged 1
Benin,BEN, Child mortality rate (aged 1-4 years),2010,42.44786951,D_PER_1000_1: Deaths per 1000 children aged 1
Benin,BEN, Child mortality rate (aged 1-4 years),2015,36.91198635,D_PER_1000_1: Deaths per 1000 children aged 1
Benin,BEN, Child mortality rate (aged 1-4 years),2017,34.75862377,D_PER_1000_1: Deaths per 1000 children aged 1
Benin,BEN, Child mortality rate (aged 1-4 years),2019,32.44308858,D_PER_1000_1: Deaths per 1000 children aged 1
Burkina Faso,BFA, Child mortality rate (aged 1-4 years),2000,96.68904802,D_PER_1000_1: Deaths per 1000 children aged 1
Burkina Faso,BFA, Child mortality rate (aged 1-4 years),2005,78.48541029,D_PER_1000_1: Deaths per 1000 children aged 1
Burkina Faso,BFA, Child mortality rate (aged 1-4 years),2010,57.55769596,D_PER_1000_1: Deaths per 1000 children aged 1
Burkina Faso,BFA, Child mortality rate (aged 1-4 years),2015,43.99381508,D_PER_1000_1: Deaths per 1000 children aged 1
Burkina Faso,BFA, Child mortality rate (aged 1-4 years),2017,39.83717965,D_PER_1000_1: Deaths per 1000 children aged 1
Burkina Faso,BFA, Child mortality rate (aged 1-4 years),2019,35.94298546,D_PER_1000_1: Deaths per 1000 children aged 1
Bangladesh,BGD, Child mortality rate (aged 1-4 years),2000,24.50682879,D_PER_1000_1: Deaths per 1000 children aged 1
Bangladesh,BGD, Child mortality rate (aged 1-4 years),2005,15.97618392,D_PER_1000_1: Deaths per 1000 children aged 1
Bangladesh,BGD, Child mortality rate (aged 1-4 years),2010,10.66500575,D_PER_1000_1: Deaths per 1000 children aged 1
Bangladesh,BGD, Child mortality rate (aged 1-4 years),2015,7.236906276,D_PER_1000_1: Deaths per 1000 children aged 1
Bangladesh,BGD, Child mortality rate (aged 1-4 years),2017,6.141015675,D_PER_1000_1: Deaths per 1000 children aged 1
Bangladesh,BGD, Child mortality rate (aged 1-4 years),2019,5.21602431,D_PER_1000_1: Deaths per 1000 children aged 1
Bulgaria,BGR, Child mortality rate (aged 1-4 years),2000,3.18077097,D_PER_1000_1: Deaths per 1000 children aged 1
Bulgaria,BGR, Child mortality rate (aged 1-4 years),2005,2.263358493,D_PER_1000_1: Deaths per 1000 children aged 1
Bulgaria,BGR, Child mortality rate (aged 1-4 years),2010,1.782105909,D_PER_1000_1: Deaths per 1000 children aged 1
Bulgaria,BGR, Child mortality rate (aged 1-4 years),2015,1.330790818,D_PER_1000_1: Deaths per 1000 children aged 1
Bulgaria,BGR, Child mortality rate (aged 1-4 years),2017,1.203809927,D_PER_1000_1: Deaths per 1000 children aged 1
Bulgaria,BGR, Child mortality rate (aged 1-4 years),2019,1.111107968,D_PER_1000_1: Deaths per 1000 children aged 1
Bahrain,BHR, Child mortality rate (aged 1-4 years),2000,1.759135452,D_PER_1000_1: Deaths per 1000 children aged 1
Bahrain,BHR, Child mortality rate (aged 1-4 years),2005,1.520486408,D_PER_1000_1: Deaths per 1000 children aged 1
Bahrain,BHR, Child mortality rate (aged 1-4 years),2010,1.228801771,D_PER_1000_1: Deaths per 1000 children aged 1
Bahrain,BHR, Child mortality rate (aged 1-4 years),2015,1.083303164,D_PER_1000_1: Deaths per 1000 children aged 1
Bahrain,BHR, Child mortality rate (aged 1-4 years),2017,1.058651951,D_PER_1000_1: Deaths per 1000 children aged 1
Bahrain,BHR, Child mortality rate (aged 1-4 years),2019,1.037619172,D_PER_1000_1: Deaths per 1000 children aged 1
Bahamas,BHS, Child mortality rate (aged 1-4 years),2000,2.369743834,D_PER_1000_1: Deaths per 1000 children aged 1
Bahamas,BHS, Child mortality rate (aged 1-4 years),2005,2.419645723,D_PER_1000_1: Deaths per 1000 children aged 1
Bahamas,BHS, Child mortality rate (aged 1-4 years),2010,2.164250264,D_PER_1000_1: Deaths per 1000 children aged 1
Bahamas,BHS, Child mortality rate (aged 1-4 years),2015,1.917780502,D_PER_1000_1: Deaths per 1000 children aged 1
Bahamas,BHS, Child mortality rate (aged 1-4 years),2017,1.860955492,D_PER_1000_1: Deaths per 1000 children aged 1
Bahamas,BHS, Child mortality rate (aged 1-4 years),2019,8.166206364,D_PER_1000_1: Deaths per 1000 children aged 1
Bosnia and Herzegovina,BIH, Child mortality rate (aged 1-4 years),2000,1.209820459,D_PER_1000_1: Deaths per 1000 children aged 1
Bosnia and Herzegovina,BIH, Child mortality rate (aged 1-4 years),2005,1.118445831,D_PER_1000_1: Deaths per 1000 children aged 1
Bosnia and Herzegovina,BIH, Child mortality rate (aged 1-4 years),2010,0.935562541,D_PER_1000_1: Deaths per 1000 children aged 1
Bosnia and Herzegovina,BIH, Child mortality rate (aged 1-4 years),2015,0.838655149,D_PER_1000_1: Deaths per 1000 children aged 1
Bosnia and Herzegovina,BIH, Child mortality rate (aged 1-4 years),2017,0.827490708,D_PER_1000_1: Deaths per 1000 children aged 1
Bosnia and Herzegovina,BIH, Child mortality rate (aged 1-4 years),2019,0.800567,D_PER_1000_1: Deaths per 1000 children aged 1
Belarus,BLR, Child mortality rate (aged 1-4 years),2000,2.833864865,D_PER_1000_1: Deaths per 1000 children aged 1
Belarus,BLR, Child mortality rate (aged 1-4 years),2005,2.026934335,D_PER_1000_1: Deaths per 1000 children aged 1
Belarus,BLR, Child mortality rate (aged 1-4 years),2010,1.338079815,D_PER_1000_1: Deaths per 1000 children aged 1
Belarus,BLR, Child mortality rate (aged 1-4 years),2015,0.993875828,D_PER_1000_1: Deaths per 1000 children aged 1
Belarus,BLR, Child mortality rate (aged 1-4 years),2017,0.88681925,D_PER_1000_1: Deaths per 1000 children aged 1
Belarus,BLR, Child mortality rate (aged 1-4 years),2019,0.775397243,D_PER_1000_1: Deaths per 1000 children aged 1
Belize,BLZ, Child mortality rate (aged 1-4 years),2000,3.655895586,D_PER_1000_1: Deaths per 1000 children aged 1
Belize,BLZ, Child mortality rate (aged 1-4 years),2005,3.125083392,D_PER_1000_1: Deaths per 1000 children aged 1
Belize,BLZ, Child mortality rate (aged 1-4 years),2010,2.765849594,D_PER_1000_1: Deaths per 1000 children aged 1
Belize,BLZ, Child mortality rate (aged 1-4 years),2015,2.166305614,D_PER_1000_1: Deaths per 1000 children aged 1
Belize,BLZ, Child mortality rate (aged 1-4 years),2017,1.934070289,D_PER_1000_1: Deaths per 1000 children aged 1
Belize,BLZ, Child mortality rate (aged 1-4 years),2019,1.73387576,D_PER_1000_1: Deaths per 1000 children aged 1
Bolivia,BOL, Child mortality rate (aged 1-4 years),2000,20.95141093,D_PER_1000_1: Deaths per 1000 children aged 1
Bolivia,BOL, Child mortality rate (aged 1-4 years),2005,13.74692935,D_PER_1000_1: Deaths per 1000 children aged 1
Bolivia,BOL, Child mortality rate (aged 1-4 years),2010,9.022649597,D_PER_1000_1: Deaths per 1000 children aged 1
Bolivia,BOL, Child mortality rate (aged 1-4 years),2015,6.209642347,D_PER_1000_1: Deaths per 1000 children aged 1
Bolivia,BOL, Child mortality rate (aged 1-4 years),2017,5.548896746,D_PER_1000_1: Deaths per 1000 children aged 1
Bolivia,BOL, Child mortality rate (aged 1-4 years),2019,5.021271417,D_PER_1000_1: Deaths per 1000 children aged 1
Brazil,BRA, Child mortality rate (aged 1-4 years),2000,4.478614745,D_PER_1000_1: Deaths per 1000 children aged 1
Brazil,BRA, Child mortality rate (aged 1-4 years),2005,2.822574469,D_PER_1000_1: Deaths per 1000 children aged 1
Brazil,BRA, Child mortality rate (aged 1-4 years),2010,2.020175823,D_PER_1000_1: Deaths per 1000 children aged 1
Brazil,BRA, Child mortality rate (aged 1-4 years),2015,1.719781272,D_PER_1000_1: Deaths per 1000 children aged 1
Brazil,BRA, Child mortality rate (aged 1-4 years),2017,1.659070598,D_PER_1000_1: Deaths per 1000 children aged 1
Brazil,BRA, Child mortality rate (aged 1-4 years),2019,1.611348787,D_PER_1000_1: Deaths per 1000 children aged 1
Barbados,BRB, Child mortality rate (aged 1-4 years),2000,1.417018204,D_PER_1000_1: Deaths per 1000 children aged 1
Barbados,BRB, Child mortality rate (aged 1-4 years),2005,1.359363187,D_PER_1000_1: Deaths per 1000 children aged 1
Barbados,BRB, Child mortality rate (aged 1-4 years),2010,1.196178898,D_PER_1000_1: Deaths per 1000 children aged 1
Barbados,BRB, Child mortality rate (aged 1-4 years),2015,1.04848396,D_PER_1000_1: Deaths per 1000 children aged 1
Barbados,BRB, Child mortality rate (aged 1-4 years),2017,0.984392285,D_PER_1000_1: Deaths per 1000 children aged 1
Barbados,BRB, Child mortality rate (aged 1-4 years),2019,0.919576573,D_PER_1000_1: Deaths per 1000 children aged 1
Brunei,BRN, Child mortality rate (aged 1-4 years),2000,2.129184381,D_PER_1000_1: Deaths per 1000 children aged 1
Brunei,BRN, Child mortality rate (aged 1-4 years),2005,1.844146876,D_PER_1000_1: Deaths per 1000 children aged 1
Brunei,BRN, Child mortality rate (aged 1-4 years),2010,1.77601578,D_PER_1000_1: Deaths per 1000 children aged 1
Brunei,BRN, Child mortality rate (aged 1-4 years),2015,1.829052806,D_PER_1000_1: Deaths per 1000 children aged 1
Brunei,BRN, Child mortality rate (aged 1-4 years),2017,1.857575705,D_PER_1000_1: Deaths per 1000 children aged 1
Brunei,BRN, Child mortality rate (aged 1-4 years),2019,1.880032362,D_PER_1000_1: Deaths per 1000 children aged 1
Bhutan,BTN, Child mortality rate (aged 1-4 years),2000,20.90280225,D_PER_1000_1: Deaths per 1000 children aged 1
Bhutan,BTN, Child mortality rate (aged 1-4 years),2005,13.47329091,D_PER_1000_1: Deaths per 1000 children aged 1
Bhutan,BTN, Child mortality rate (aged 1-4 years),2010,8.535953865,D_PER_1000_1: Deaths per 1000 children aged 1
Bhutan,BTN, Child mortality rate (aged 1-4 years),2015,5.919224606,D_PER_1000_1: Deaths per 1000 children aged 1
Bhutan,BTN, Child mortality rate (aged 1-4 years),2017,5.271745419,D_PER_1000_1: Deaths per 1000 children aged 1
Bhutan,BTN, Child mortality rate (aged 1-4 years),2019,4.763701321,D_PER_1000_1: Deaths per 1000 children aged 1
Botswana,BWA, Child mortality rate (aged 1-4 years),2000,40.2848242,D_PER_1000_1: Deaths per 1000 children aged 1
Botswana,BWA, Child mortality rate (aged 1-4 years),2005,31.25259591,D_PER_1000_1: Deaths per 1000 children aged 1
Botswana,BWA, Child mortality rate (aged 1-4 years),2010,15.01592414,D_PER_1000_1: Deaths per 1000 children aged 1
Botswana,BWA, Child mortality rate (aged 1-4 years),2015,9.119092008,D_PER_1000_1: Deaths per 1000 children aged 1
Botswana,BWA, Child mortality rate (aged 1-4 years),2017,7.944015521,D_PER_1000_1: Deaths per 1000 children aged 1
Botswana,BWA, Child mortality rate (aged 1-4 years),2019,8.06209223,D_PER_1000_1: Deaths per 1000 children aged 1
Central African Republic,CAF, Child mortality rate (aged 1-4 years),2000,64.65245014,D_PER_1000_1: Deaths per 1000 children aged 1
Central African Republic,CAF, Child mortality rate (aged 1-4 years),2005,54.71051512,D_PER_1000_1: Deaths per 1000 children aged 1
Central African Republic,CAF, Child mortality rate (aged 1-4 years),2010,42.59261888,D_PER_1000_1: Deaths per 1000 children aged 1
Central African Republic,CAF, Child mortality rate (aged 1-4 years),2015,34.74619406,D_PER_1000_1: Deaths per 1000 children aged 1
Central African Republic,CAF, Child mortality rate (aged 1-4 years),2017,31.86595596,D_PER_1000_1: Deaths per 1000 children aged 1
Central African Republic,CAF, Child mortality rate (aged 1-4 years),2019,29.5979895,D_PER_1000_1: Deaths per 1000 children aged 1
Canada,CAN, Child mortality rate (aged 1-4 years),2000,0.965972925,D_PER_1000_1: Deaths per 1000 children aged 1
Canada,CAN, Child mortality rate (aged 1-4 years),2005,0.869723066,D_PER_1000_1: Deaths per 1000 children aged 1
Canada,CAN, Child mortality rate (aged 1-4 years),2010,0.768614808,D_PER_1000_1: Deaths per 1000 children aged 1
Canada,CAN, Child mortality rate (aged 1-4 years),2015,0.693502043,D_PER_1000_1: Deaths per 1000 children aged 1
Canada,CAN, Child mortality rate (aged 1-4 years),2017,0.669082753,D_PER_1000_1: Deaths per 1000 children aged 1
Canada,CAN, Child mortality rate (aged 1-4 years),2019,0.644786364,D_PER_1000_1: Deaths per 1000 children aged 1
Switzerland,CHE, Child mortality rate (aged 1-4 years),2000,0.955827717,D_PER_1000_1: Deaths per 1000 children aged 1
Switzerland,CHE, Child mortality rate (aged 1-4 years),2005,0.789694696,D_PER_1000_1: Deaths per 1000 children aged 1
Switzerland,CHE, Child mortality rate (aged 1-4 years),2010,0.649737418,D_PER_1000_1: Deaths per 1000 children aged 1
Switzerland,CHE, Child mortality rate (aged 1-4 years),2015,0.557797018,D_PER_1000_1: Deaths per 1000 children aged 1
Switzerland,CHE, Child mortality rate (aged 1-4 years),2017,0.519982957,D_PER_1000_1: Deaths per 1000 children aged 1
Switzerland,CHE, Child mortality rate (aged 1-4 years),2019,0.484804696,D_PER_1000_1: Deaths per 1000 children aged 1
Chile,CHL, Child mortality rate (aged 1-4 years),2000,1.660370137,D_PER_1000_1: Deaths per 1000 children aged 1
Chile,CHL, Child mortality rate (aged 1-4 years),2005,1.367464569,D_PER_1000_1: Deaths per 1000 children aged 1
Chile,CHL, Child mortality rate (aged 1-4 years),2010,1.289819168,D_PER_1000_1: Deaths per 1000 children aged 1
Chile,CHL, Child mortality rate (aged 1-4 years),2015,1.163935121,D_PER_1000_1: Deaths per 1000 children aged 1
Chile,CHL, Child mortality rate (aged 1-4 years),2017,1.106494493,D_PER_1000_1: Deaths per 1000 children aged 1
Chile,CHL, Child mortality rate (aged 1-4 years),2019,1.032866897,D_PER_1000_1: Deaths per 1000 children aged 1
China,CHN, Child mortality rate (aged 1-4 years),2000,6.897551378,D_PER_1000_1: Deaths per 1000 children aged 1
China,CHN, Child mortality rate (aged 1-4 years),2005,4.635386697,D_PER_1000_1: Deaths per 1000 children aged 1
China,CHN, Child mortality rate (aged 1-4 years),2010,3.291490285,D_PER_1000_1: Deaths per 1000 children aged 1
China,CHN, Child mortality rate (aged 1-4 years),2015,2.510276016,D_PER_1000_1: Deaths per 1000 children aged 1
China,CHN, Child mortality rate (aged 1-4 years),2017,2.278045554,D_PER_1000_1: Deaths per 1000 children aged 1
China,CHN, Child mortality rate (aged 1-4 years),2019,2.077721201,D_PER_1000_1: Deaths per 1000 children aged 1
Ivory Coast,CIV, Child mortality rate (aged 1-4 years),2000,52.33544979,D_PER_1000_1: Deaths per 1000 children aged 1
Ivory Coast,CIV, Child mortality rate (aged 1-4 years),2005,43.90537019,D_PER_1000_1: Deaths per 1000 children aged 1
Ivory Coast,CIV, Child mortality rate (aged 1-4 years),2010,34.10688581,D_PER_1000_1: Deaths per 1000 children aged 1
Ivory Coast,CIV, Child mortality rate (aged 1-4 years),2015,26.65733219,D_PER_1000_1: Deaths per 1000 children aged 1
Ivory Coast,CIV, Child mortality rate (aged 1-4 years),2017,24.50416617,D_PER_1000_1: Deaths per 1000 children aged 1
Ivory Coast,CIV, Child mortality rate (aged 1-4 years),2019,22.02033592,D_PER_1000_1: Deaths per 1000 children aged 1
Cameroon,CMR, Child mortality rate (aged 1-4 years),2000,62.17982543,D_PER_1000_1: Deaths per 1000 children aged 1
Cameroon,CMR, Child mortality rate (aged 1-4 years),2005,53.94204381,D_PER_1000_1: Deaths per 1000 children aged 1
Cameroon,CMR, Child mortality rate (aged 1-4 years),2010,44.63713828,D_PER_1000_1: Deaths per 1000 children aged 1
Cameroon,CMR, Child mortality rate (aged 1-4 years),2015,32.9103527,D_PER_1000_1: Deaths per 1000 children aged 1
Cameroon,CMR, Child mortality rate (aged 1-4 years),2017,29.10873377,D_PER_1000_1: Deaths per 1000 children aged 1
Cameroon,CMR, Child mortality rate (aged 1-4 years),2019,26.29991961,D_PER_1000_1: Deaths per 1000 children aged 1
"Congo, the Democratic Republic of the",COD, Child mortality rate (aged 1-4 years),2000,59.51894149,D_PER_1000_1: Deaths per 1000 children aged 1
"Congo, the Democratic Republic of the",COD, Child mortality rate (aged 1-4 years),2005,45.69710057,D_PER_1000_1: Deaths per 1000 children aged 1
"Congo, the Democratic Republic of the",COD, Child mortality rate (aged 1-4 years),2010,33.46919764,D_PER_1000_1: Deaths per 1000 children aged 1
"Congo, the Democratic Republic of the",COD, Child mortality rate (aged 1-4 years),2015,24.96343963,D_PER_1000_1: Deaths per 1000 children aged 1
"Congo, the Democratic Republic of the",COD, Child mortality rate (aged 1-4 years),2017,22.27641118,D_PER_1000_1: Deaths per 1000 children aged 1
"Congo, the Democratic Republic of the",COD, Child mortality rate (aged 1-4 years),2019,19.85208278,D_PER_1000_1: Deaths per 1000 children aged 1
Congo,COG, Child mortality rate (aged 1-4 years),2000,44.63291943,D_PER_1000_1: Deaths per 1000 children aged 1
Congo,COG, Child mortality rate (aged 1-4 years),2005,31.41417802,D_PER_1000_1: Deaths per 1000 children aged 1
Congo,COG, Child mortality rate (aged 1-4 years),2010,20.01648498,D_PER_1000_1: Deaths per 1000 children aged 1
Congo,COG, Child mortality rate (aged 1-4 years),2015,15.6403225,D_PER_1000_1: Deaths per 1000 children aged 1
Congo,COG, Child mortality rate (aged 1-4 years),2017,14.09799616,D_PER_1000_1: Deaths per 1000 children aged 1
Congo,COG, Child mortality rate (aged 1-4 years),2019,17.2112601,D_PER_1000_1: Deaths per 1000 children aged 1
Colombia,COL, Child mortality rate (aged 1-4 years),2000,3.969931113,D_PER_1000_1: Deaths per 1000 children aged 1
Colombia,COL, Child mortality rate (aged 1-4 years),2005,3.233863656,D_PER_1000_1: Deaths per 1000 children aged 1
Colombia,COL, Child mortality rate (aged 1-4 years),2010,2.666924814,D_PER_1000_1: Deaths per 1000 children aged 1
Colombia,COL, Child mortality rate (aged 1-4 years),2015,2.208829629,D_PER_1000_1: Deaths per 1000 children aged 1
Colombia,COL, Child mortality rate (aged 1-4 years),2017,2.062914787,D_PER_1000_1: Deaths per 1000 children aged 1
Colombia,COL, Child mortality rate (aged 1-4 years),2019,1.932628781,D_PER_1000_1: Deaths per 1000 children aged 1
Comoros,COM, Child mortality rate (aged 1-4 years),2000,28.727747,D_PER_1000_1: Deaths per 1000 children aged 1
Comoros,COM, Child mortality rate (aged 1-4 years),2005,23.97733198,D_PER_1000_1: Deaths per 1000 children aged 1
Comoros,COM, Child mortality rate (aged 1-4 years),2010,19.13606643,D_PER_1000_1: Deaths per 1000 children aged 1
Comoros,COM, Child mortality rate (aged 1-4 years),2015,14.77308412,D_PER_1000_1: Deaths per 1000 children aged 1
Comoros,COM, Child mortality rate (aged 1-4 years),2017,13.24804643,D_PER_1000_1: Deaths per 1000 children aged 1
Comoros,COM, Child mortality rate (aged 1-4 years),2019,11.95430601,D_PER_1000_1: Deaths per 1000 children aged 1
