Country,REF_AREA,Indicator,Time period,Maternal Mortality Rate
Austria,AUT," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,5.953755513
Austria,AUT," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,5.671449839
Austria,AUT," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,5.144606386
Austria,AUT," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,5.495700908
Azerbaijan,AZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,55.52084171
Azerbaijan,AZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,43.89282794
Azerbaijan,AZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,32.81003821
Azerbaijan,AZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,29.37785966
Azerbaijan,AZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,26.8930122
Azerbaijan,AZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,26.86957153
Burundi,BDI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,873.649778
Burundi,BDI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,712.7676899
Burundi,BDI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,608.008014
Burundi,BDI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,514.0306594
Burundi,BDI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,499.1333432
Burundi,BDI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,479.2901456
Belgium,BEL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,8.26523575
Belgium,BEL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,6.753140306
Belgium,BEL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,5.925479668
Belgium,BEL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,5.202933585
Belgium,BEL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,4.912306387
Belgium,BEL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,4.603335636
Benin,BEN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,469.3076241
Benin,BEN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,509.1893728
Benin,BEN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,598.1657783
Benin,BEN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,590.8629488
Benin,BEN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,569.1359122
Benin,BEN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,521.8667261
Burkina Faso,BFA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,505.5886726
Burkina Faso,BFA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,416.8903586
Burkina Faso,BFA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,357.4172229
Burkina Faso,BFA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,294.7829447
Burkina Faso,BFA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,283.1154534
Burkina Faso,BFA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,283.2566753
Bangladesh,BGD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,441.183971
Bangladesh,BGD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,375.8640409
Bangladesh,BGD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,300.8127557
Bangladesh,BGD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,211.6226927
Bangladesh,BGD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,183.3970229
Bangladesh,BGD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,157.1610609
Bulgaria,BGR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,21.93407892
Bulgaria,BGR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,13.71777888
Bulgaria,BGR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,10.29713574
Bulgaria,BGR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,7.50179549
Bulgaria,BGR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,7.029598737
Bulgaria,BGR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,6.729914583
Bahrain,BHR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,24.32399279
Bahrain,BHR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,21.1652216
Bahrain,BHR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,19.82068005
Bahrain,BHR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,15.74704456
Bahrain,BHR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,15.3881192
Bahrain,BHR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,14.50395559
Bahamas,BHS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,60.84163753
Bahamas,BHS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,73.90934568
Bahamas,BHS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,78.88068135
Bahamas,BHS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,84.44531475
Bahamas,BHS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,77.33281179
Bahamas,BHS," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,82.02698746
Bosnia and Herzegovina,BIH," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,15.6034308
Bosnia and Herzegovina,BIH," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,11.46766811
Bosnia and Herzegovina,BIH," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,7.690391477
Bosnia and Herzegovina,BIH," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,7.401723826
Bosnia and Herzegovina,BIH," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,5.932748448
Bosnia and Herzegovina,BIH," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,5.394104145
Belarus,BLR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,24.31823785
Belarus,BLR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,10.76857705
Belarus,BLR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,2.710342999
Belarus,BLR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,1.31394037
Belarus,BLR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,1.313466336
Belarus,BLR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,1.082011609
Belize,BLZ," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,85.88871883
Belize,BLZ," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,71.88607112
Belize,BLZ," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,32.69340664
Belize,BLZ," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,49.24150673
Belize,BLZ," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,71.97347233
Belize,BLZ," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,86.01261536
Bolivia,BOL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,284.0085776
Bolivia,BOL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,230.084815
Bolivia,BOL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,184.0871814
Bolivia,BOL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,164.8374608
Bolivia,BOL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,164.0567899
Bolivia,BOL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,175.752743
Brazil,BRA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,68.40031866
Brazil,BRA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,69.96843774
Brazil,BRA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,63.8552917
Brazil,BRA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,62.17603704
Brazil,BRA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,59.70362205
Brazil,BRA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,60.73516526
Barbados,BRB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,48.44007338
Barbados,BRB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,42.62750245
Barbados,BRB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,53.28667193
Barbados,BRB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,48.7575032
Barbados,BRB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,47.35327532
Barbados,BRB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,46.62337123
Brunei,BRN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,49.54606785
Brunei,BRN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,45.98728003
Brunei,BRN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,41.82923447
Brunei,BRN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,44.79334551
Brunei,BRN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,45.47455297
Brunei,BRN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,44.99772642
Bhutan,BTN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,304.6815131
Bhutan,BTN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,185.8001141
Bhutan,BTN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,116.5659438
Bhutan,BTN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,73.66837497
Bhutan,BTN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,68.39583777
Bhutan,BTN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,61.60915207
Botswana,BWA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,181.5597253
Botswana,BWA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,201.4597028
Botswana,BWA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,155.8990506
Botswana,BWA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,183.8711755
Botswana,BWA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,107.6300722
Botswana,BWA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,117.8768465
Central African Republic,CAF," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,1315.169839
Central African Republic,CAF," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,1158.001425
Central African Republic,CAF," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,1051.566783
Central African Republic,CAF," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,909.1932321
Central African Republic,CAF," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,904.2281115
Central African Republic,CAF," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,847.285413
Canada,CAN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,9.303748734
Canada,CAN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,11.33054266
Canada,CAN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,11.94033468
Canada,CAN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,11.66108652
Canada,CAN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,12.57895622
Canada,CAN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,11.15627462
Switzerland,CHE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,7.9042388
Switzerland,CHE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,9.384615466
Switzerland,CHE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,8.119125216
Switzerland,CHE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,6.462582116
Switzerland,CHE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,6.144131951
Switzerland,CHE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,7.104538186
Chile,CHL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,32.55022434
Chile,CHL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,27.26824617
Chile,CHL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,23.3602596
Chile,CHL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,16.21280391
Chile,CHL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,14.73754452
Chile,CHL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,14.60006402
China,CHN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,58.06376653
China,CHN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,45.59247531
China,CHN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,33.22315057
China,CHN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,25.98126092
China,CHN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,21.87205234
China,CHN," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,20.3974991
Ivory Coast,CIV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,473.4671948
Ivory Coast,CIV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,540.2546228
Ivory Coast,CIV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,604.1459198
Ivory Coast,CIV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,529.7648379
Ivory Coast,CIV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,512.4202245
Ivory Coast,CIV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,482.860707
Cameroon,CMR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,650.7303744
Cameroon,CMR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,572.9448455
Cameroon,CMR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,526.7479806
Cameroon,CMR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,446.8461608
Cameroon,CMR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,442.9735063
Cameroon,CMR," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,439.7675072
"Congo, the Democratic Republic of the",COD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,667.7360624
"Congo, the Democratic Republic of the",COD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,634.8282013
"Congo, the Democratic Republic of the",COD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,601.4646124
"Congo, the Democratic Republic of the",COD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,577.8020351
"Congo, the Democratic Republic of the",COD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,570.218333
"Congo, the Democratic Republic of the",COD," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,540.7022849
Congo,COG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,659.786673
Congo,COG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,487.7580968
Congo,COG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,389.0640958
Congo,COG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,360.4354582
Congo,COG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,365.7711417
Congo,COG," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,292.1209257
Colombia,COL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,92.63503345
Colombia,COL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,81.78541366
Colombia,COL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,70.56835582
Colombia,COL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,70.00598803
Colombia,COL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,71.44645007
Colombia,COL," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,65.44106801
Comoros,COM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,455.6969284
Comoros,COM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,360.4614828
Comoros,COM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,316.171921
Comoros,COM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,260.7519219
Comoros,COM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,240.58492
Comoros,COM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,236.5963087
Cape Verde,CPV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,125.1438125
Cape Verde,CPV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,76.88770414
Cape Verde,CPV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,53.91865531
Cape Verde,CPV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,46.5006734
Cape Verde,CPV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,39.62307016
Cape Verde,CPV," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,42.0967029
Costa Rica,CRI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,38.50785552
Costa Rica,CRI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,30.53661867
Costa Rica,CRI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,26.57481521
Costa Rica,CRI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,19.69300444
Costa Rica,CRI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,18.71924927
Costa Rica,CRI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,18.69613441
Cuba,CUB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,47.00999782
Cuba,CUB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,43.46832008
Cuba,CUB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,41.05777425
Cuba,CUB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,39.16935911
Cuba,CUB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,40.16145284
Cuba,CUB," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,40.2978499
Cyprus,CYP," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,33.16145299
Cyprus,CYP," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,27.31870845
Cyprus,CYP," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,26.78462943
Cyprus,CYP," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,42.39328568
Cyprus,CYP," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,49.37267002
Cyprus,CYP," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,63.81406487
Czech Republic,CZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,8.028287983
Czech Republic,CZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,5.277133169
Czech Republic,CZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,4.260183084
Czech Republic,CZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,3.501448882
Czech Republic,CZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,3.141777695
Czech Republic,CZE," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,3.335242021
Germany,DEU," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,7.164222858
Germany,DEU," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,6.926193631
Germany,DEU," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,6.162265271
Germany,DEU," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,4.593032889
Germany,DEU," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,4.732931179
Germany,DEU," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,4.449960023
Djibouti,DJI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,512.4588501
Djibouti,DJI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,368.2095154
Djibouti,DJI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,273.753785
Djibouti,DJI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,244.330176
Djibouti,DJI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,247.0532945
Djibouti,DJI," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,244.0966731
Denmark,DNK," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,8.034726972
Denmark,DNK," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,6.900885325
Denmark,DNK," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,6.52436119
Denmark,DNK," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,5.601499986
Denmark,DNK," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,4.999461796
Denmark,DNK," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,4.519454639
Dominican Republic,DOM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,79.05039866
Dominican Republic,DOM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,86.68350673
Dominican Republic,DOM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,91.77795767
Dominican Republic,DOM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,98.81449694
Dominican Republic,DOM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,104.4241602
Dominican Republic,DOM," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,102.9061827
Algeria,DZA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,159.1756828
Algeria,DZA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,143.5236966
Algeria,DZA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2010,111.7429177
Algeria,DZA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2015,89.13265009
Algeria,DZA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2017,89.1435423
Algeria,DZA," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2019,76.71433947
Ecuador,ECU," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2000,120.131473
Ecuador,ECU," Maternal mortality ratio (number of maternal deaths per 100,000 live births)",2005,92.22147624
